step total noise recon gradient content
1 1.923932 1.303262 0.357210 1.001853 3.585893
51 0.866077 0.437926 0.278540 0.748602 2.780510
101 0.659180 0.289247 0.246295 0.633466 2.450416
151 0.447656 0.144158 0.206726 0.489495 2.029310
201 0.412975 0.126349 0.194644 0.432457 1.868723
251 0.385174 0.109369 0.187642 0.395717 1.783005
301 0.352501 0.092300 0.184286 0.376012 1.729660
351 0.332315 0.083733 0.177993 0.358811 1.664578
401 0.325084 0.079515 0.172124 0.334697 1.626588
451 0.318042 0.078037 0.174553 0.328713 1.630637
501 0.304498 0.070089 0.172580 0.322876 1.621721
551 0.289772 0.063911 0.163276 0.295442 1.528823
601 0.273720 0.058228 0.154860 0.282951 1.450930
651 0.271038 0.055405 0.156227 0.283381 1.461978
701 0.265622 0.054906 0.156231 0.279859 1.440798
751 0.249168 0.049308 0.150345 0.271845 1.401814
801 0.238261 0.044866 0.146499 0.260315 1.366522
851 0.241888 0.046517 0.147973 0.257077 1.339932
901 0.244305 0.047635 0.149861 0.253998 1.326265
951 0.241899 0.047647 0.146246 0.249662 1.303959
1001 0.245724 0.048140 0.141369 0.247691 1.282568
1051 0.239316 0.045063 0.138368 0.239381 1.281180
1101 0.227647 0.042501 0.138231 0.233638 1.281801
1151 0.224124 0.040156 0.138918 0.233749 1.263367
1201 0.217355 0.037418 0.136861 0.233814 1.229186
1251 0.208374 0.036494 0.135284 0.226991 1.201789
1301 0.203954 0.034544 0.132565 0.219326 1.192455
1351 0.206242 0.033972 0.130295 0.217325 1.196498
1401 0.208494 0.036016 0.129297 0.213884 1.185899
1451 0.213805 0.038739 0.130097 0.224698 1.171818
1501 0.218435 0.038817 0.129941 0.225898 1.170298
1551 0.212217 0.036622 0.127252 0.211755 1.171854
1601 0.206970 0.035950 0.128657 0.212527 1.176066
1651 0.198631 0.033173 0.125857 0.208134 1.146976
1701 0.192533 0.032322 0.123366 0.203256 1.122543
1751 0.188499 0.031519 0.124783 0.204023 1.125236
1801 0.184141 0.030070 0.121454 0.197413 1.102158
1851 0.188632 0.030667 0.120325 0.197761 1.092901
1901 0.189377 0.030324 0.123859 0.198767 1.085732
1951 0.188740 0.031505 0.120961 0.193717 1.072039
2001 0.197215 0.033635 0.118571 0.197790 1.080846
2051 0.195978 0.032838 0.120554 0.203685 1.085399
2101 0.186101 0.030926 0.118988 0.199831 1.075791
2151 0.183513 0.029572 0.118524 0.197890 1.053774
2201 0.184371 0.028769 0.120977 0.203539 1.067877
2251 0.178343 0.027819 0.121475 0.200168 1.068987
2301 0.176053 0.027515 0.119636 0.192627 1.057082
2351 0.181663 0.029602 0.116706 0.187600 1.057504
