step loss noise_loss recon_loss gradient_loss content_loss
1 1.69209471 1.18631408 0.33277412 0.76009904 1.42856379
50 0.33019955 0.11642141 0.19593775 0.39922801 0.84530881
100 0.33187121 0.09397901 0.17087510 0.36044468 1.24114777
150 0.20051001 0.06500628 0.15015227 0.26678358 0.79848467
200 0.18938774 0.05066937 0.14263448 0.22602589 0.55361789
250 0.19479261 0.05743282 0.14638158 0.25401320 0.65478085
300 0.14704346 0.03081885 0.14918396 0.26708231 0.78465454
350 0.19537156 0.06772137 0.15875590 0.27887642 0.78663617
400 0.17505865 0.06142288 0.17125985 0.30987450 1.11442743
450 0.16148907 0.05096007 0.12700278 0.21485593 0.75908809
500 0.15515797 0.06346594 0.12656170 0.24383809 0.86438704
550 0.15273406 0.02843876 0.12283482 0.18415713 0.53485897
600 0.16755789 0.06343170 0.09174106 0.12755982 0.63356735
650 0.16053986 0.05528923 0.10496261 0.16658297 0.55395351
700 0.19670117 0.08489529 0.09851038 0.14579103 0.66836958
750 0.13036477 0.03626695 0.12091876 0.17459398 0.55869971
800 0.12594902 0.03480436 0.16197643 0.27883476 1.08803987
850 0.12951655 0.04118101 0.12652824 0.18811288 0.51579535
900 0.10370645 0.03299163 0.10671383 0.13924826 0.40587741
950 0.14023757 0.03375721 0.07528378 0.10528711 0.26892048
1000 0.12285363 0.01802857 0.08924991 0.11838772 0.32867231
1050 0.11846170 0.01648786 0.10311134 0.15373605 0.43828771
1100 0.12683163 0.03934774 0.07019130 0.10500348 0.53022966
1150 0.16475232 0.04923534 0.12622143 0.12047884 0.64480005
1200 0.14576674 0.05898376 0.07317405 0.10256179 0.60647851
1250 0.09788438 0.02456478 0.09535623 0.14846518 0.42525446
1300 0.09248741 0.02009327 0.12942253 0.17994329 0.89465967
1350 0.11903401 0.03452811 0.12723896 0.16762650 0.53572579
1400 0.08337872 0.02492688 0.08860205 0.12589111 0.31238715
1450 0.13036895 0.02906166 0.08419497 0.07416572 0.27326595
1500 0.08950126 0.01315357 0.06766166 0.09764839 0.23187505
1550 0.10173780 0.01240366 0.09458713 0.13571379 0.36160934
1600 0.11458448 0.03491272 0.07156313 0.08752267 0.53602570
1650 0.12787334 0.03933990 0.08898284 0.10583640 0.49859937
1700 0.12380053 0.05070657 0.06660545 0.08141262 0.54768621
1750 0.07732315 0.01938761 0.07387533 0.11444648 0.32674628
1800 0.08354282 0.01510250 0.10958377 0.18654443 0.91358979
1850 0.09809405 0.02729517 0.12085177 0.13457870 0.50374703
1900 0.06342609 0.01740856 0.07220447 0.09763932 0.24942528
1950 0.10384017 0.01815885 0.06402409 0.06959818 0.24141662
2000 0.08030113 0.00978370 0.05610309 0.08513678 0.21275498
2050 0.08971958 0.00944296 0.08578135 0.11622201 0.30408567
2100 0.10211389 0.02893306 0.06347373 0.08337075 0.48962899
2150 0.12004317 0.03629484 0.08670180 0.10460323 0.46199268
2200 0.11961223 0.04372244 0.06283714 0.07756908 0.56597140
2250 0.07338754 0.01723629 0.06995717 0.11508267 0.31082868
2300 0.07539510 0.01249366 0.10752133 0.15701268 0.84203351
2350 0.09680439 0.02890367 0.11428031 0.13976756 0.47196641
2400 0.06012719 0.01434139 0.07307565 0.10419436 0.26579733
2450 0.08805137 0.01514283 0.05057681 0.06141281 0.19651692
2500 0.07612866 0.00912745 0.06236619 0.07225875 0.21069869
2550 0.08009250 0.00739703 0.07755745 0.10579655 0.28184992
2600 0.09413709 0.02483965 0.05575231 0.07871347 0.45622201
2650 0.11595108 0.03297799 0.08375861 0.09118442 0.47046056
2700 0.10780749 0.03905950 0.06097570 0.07247272 0.50995884
2750 0.07117784 0.01580773 0.06854519 0.10759927 0.33314845
2800 0.07554117 0.01214449 0.10809494 0.15902432 0.85370759
2850 0.08980949 0.02047690 0.10988387 0.15268710 0.42206663
2900 0.05374409 0.01137672 0.06369665 0.09388797 0.22893541
2950 0.08332273 0.01240129 0.05118243 0.05697957 0.19226614
