step total noise recon gradient content
1 0.67238765 0.38288809 0.26680834 0.56966987 1.26167532
50 0.49295844 0.25475115 0.22851052 0.47773463 1.10725067
100 0.28373186 0.10730042 0.17822281 0.35250266 0.89028641
150 0.24299562 0.08232005 0.16317650 0.30409339 0.81284312
200 0.22415949 0.07118628 0.16056361 0.27705191 0.77260630
250 0.22139513 0.07055960 0.15643760 0.25967667 0.75428247
300 0.20468510 0.06164663 0.14519688 0.24540038 0.73187850
350 0.18993823 0.05385343 0.14278209 0.23358183 0.69994639
400 0.18497009 0.05243701 0.14016022 0.21712798 0.68096658
450 0.17419328 0.04771179 0.13463194 0.20741154 0.66494272
500 0.16712404 0.04433854 0.13037157 0.20367122 0.63910680
550 0.16382432 0.04269055 0.12895249 0.20272287 0.64597150
600 0.15860228 0.03929503 0.12763253 0.19790069 0.63207865
650 0.14730481 0.03457947 0.12108041 0.18425534 0.61868289
700 0.14283734 0.03393272 0.12188505 0.18089342 0.61659369
750 0.14296050 0.03318870 0.12258086 0.17702700 0.59358191
800 0.14287542 0.03244471 0.11935713 0.17830696 0.57754438
850 0.14143106 0.03278227 0.11673873 0.18060507 0.59161852
900 0.13756286 0.03196681 0.11327501 0.17337325 0.57988040
950 0.13187459 0.03058357 0.10644353 0.16143591 0.52887836
1000 0.12482146 0.02759813 0.10174079 0.14656068 0.50223287
1050 0.12231098 0.02674780 0.10341452 0.14913779 0.52183339
1100 0.12458958 0.02666586 0.10631315 0.15454451 0.54032578
1150 0.12197237 0.02545312 0.10687422 0.14572740 0.55884645
1200 0.11768679 0.02492445 0.10714182 0.14458609 0.55491018
1250 0.11897226 0.02442666 0.10646263 0.14963387 0.53095165
1300 0.12078269 0.02433553 0.10546929 0.15078782 0.51911366
1350 0.11818554 0.02477274 0.10221551 0.14922958 0.51908306
1400 0.11623057 0.02508231 0.09977317 0.14684957 0.51664926
1450 0.11606244 0.02518564 0.09898113 0.14230509 0.49420068
1500 0.11044819 0.02260745 0.09491370 0.13251353 0.46441831
1550 0.10717765 0.02138289 0.09440829 0.13490151 0.47762881
1600 0.10798737 0.02105356 0.09543391 0.13756300 0.49020958
1650 0.10677864 0.02052680 0.09701398 0.13031648 0.50658968
