step loss noise_loss recon_loss gradient_loss content_loss
1 1.81484678 1.21562231 0.35429312 1.02362745 3.40141040
50 0.49558558 0.19549712 0.21917813 0.55954348 2.08340228
100 0.50066540 0.14709833 0.21458220 0.47345334 2.23587847
150 0.39587818 0.11333257 0.17535554 0.38930498 1.55350918
200 0.36640291 0.11094983 0.19841426 0.41133845 1.98439813
250 0.38282008 0.09454146 0.16778688 0.39874660 1.62411270
300 0.29596065 0.06149536 0.19804654 0.33924302 1.72858796
350 0.32788254 0.09026200 0.15707157 0.33600606 1.45687735
400 0.29833012 0.06317225 0.22587405 0.40524952 1.86152682
450 0.33188840 0.09756125 0.15669477 0.33906159 1.41801499
500 0.24565206 0.06915860 0.17198645 0.33942661 1.50780016
550 0.26413768 0.07998279 0.13223810 0.20005649 1.20294598
600 0.38384360 0.13656982 0.12279634 0.28309972 1.16020808
650 0.31954123 0.10053502 0.15128808 0.31484884 1.26104777
700 0.39839296 0.17134688 0.11680240 0.24517281 1.01871619
750 0.31800422 0.09002608 0.17514730 0.35027650 1.68425742
800 0.24926058 0.07477006 0.16173887 0.33838991 1.56370461
850 0.37811829 0.12531026 0.14065297 0.28940981 1.40144011
900 0.24903932 0.05799280 0.15174854 0.28219969 1.36055875
950 0.34758596 0.11510617 0.11501861 0.25007068 1.07017659
1000 0.24994333 0.03818736 0.12461006 0.24922632 1.10450813
1050 0.21839520 0.04385202 0.15771350 0.29407711 1.22819287
1100 0.35980995 0.12520709 0.10694455 0.22936354 1.23231305
1150 0.24466918 0.07494058 0.11908333 0.23529902 0.99509130
1200 0.22772753 0.08663943 0.10142960 0.20304381 0.78734972
1250 0.22843836 0.06342670 0.15134064 0.30182131 1.14202815
1300 0.21786023 0.03772947 0.17254411 0.29463768 1.31467271
1350 0.31352188 0.09573747 0.13633812 0.22923988 1.12686886
1400 0.20548951 0.06256684 0.13395037 0.28577591 1.12129451
1450 0.18274832 0.05879204 0.08267710 0.16598751 0.57727334
1500 0.24452269 0.04159403 0.11087471 0.21934373 1.00414896
1550 0.21384576 0.02957474 0.13797934 0.27143707 1.25091887
1600 0.20891007 0.05672969 0.08656222 0.18774273 0.76150379
1650 0.25021648 0.11098978 0.10398685 0.18655222 0.95541976
1700 0.30652029 0.09591476 0.11866609 0.20321816 1.03342727
1750 0.20331333 0.03889582 0.13543674 0.24216073 1.23116855
1800 0.19113085 0.04425834 0.13639696 0.24788862 1.18704483
1850 0.29346443 0.08278095 0.12731825 0.23213018 1.18062469
1900 0.21214861 0.05407337 0.11431257 0.23354195 0.98632090
1950 0.24877296 0.05920175 0.08809437 0.20774917 0.83089281
2000 0.19618860 0.02521582 0.09752637 0.20836505 0.85283281
2050 0.18643833 0.02724868 0.11549808 0.24216605 1.01931141
2100 0.22575216 0.04338320 0.09526088 0.18336491 0.95646764
2150 0.20173111 0.05631186 0.10794998 0.19628930 0.98141904
2200 0.29705044 0.12793553 0.09625034 0.16505483 0.81690377
2250 0.17422166 0.03955837 0.11741974 0.21945168 0.90332136
2300 0.17659408 0.03709431 0.15516389 0.25685279 1.21590610
2350 0.24095726 0.07208810 0.12361167 0.19330173 0.86969268
2400 0.13334418 0.03917800 0.09787543 0.14388280 0.71142899
2450 0.25961980 0.05430638 0.08810500 0.20014100 1.05136508
2500 0.23043334 0.03410288 0.10472316 0.20982891 1.11577477
2550 0.22660305 0.03822780 0.12608669 0.21456001 1.24782363
2600 0.23813022 0.06375417 0.09033197 0.18000681 0.90618003
2650 0.22570905 0.05793480 0.11258052 0.24146737 0.98791696
2700 0.25764089 0.09047281 0.08545085 0.16006079 0.70393348
2750 0.22144119 0.04638106 0.15569393 0.25918628 1.13893516
