step total noise recon gradient content
1 0.85517351 0.43674561 0.27446077 0.73865347 2.54908541
50 0.66688644 0.30288305 0.23930355 0.62167382 2.22641367
100 0.44233407 0.14939974 0.20128603 0.47643261 1.83426467
150 0.38925011 0.12178163 0.19458643 0.43733025 1.74709746
200 0.36408089 0.10824513 0.18731130 0.41482193 1.69310628
250 0.35029829 0.10327062 0.18197668 0.39630624 1.63837375
300 0.33595971 0.09832373 0.17705281 0.37039429 1.57387839
350 0.32576768 0.09015037 0.17759079 0.34477018 1.56407602
400 0.31346396 0.08435530 0.17294421 0.33165608 1.52627768
450 0.30003827 0.08106001 0.16835328 0.33851457 1.48262494
500 0.29722959 0.08093277 0.16299745 0.32426211 1.44035882
550 0.29348416 0.07913299 0.16234262 0.30341207 1.42335943
600 0.28403067 0.07176265 0.15990104 0.31118137 1.40848184
650 0.27205035 0.06635901 0.15228924 0.30886846 1.35820923
700 0.26182578 0.06448492 0.15157778 0.29862589 1.33607306
750 0.25750557 0.06336126 0.14933691 0.29117911 1.33215105
800 0.25824879 0.06273009 0.14831976 0.28015678 1.32703002
850 0.25781044 0.06201360 0.14895519 0.27682559 1.30910261
900 0.25858385 0.06485395 0.14663010 0.27132456 1.29453835
950 0.26100496 0.06569807 0.14262879 0.26660938 1.27278968
1000 0.25562562 0.06159159 0.13819444 0.27230971 1.23865781
1050 0.24596123 0.05854778 0.13978843 0.27085583 1.23974830
1100 0.24653902 0.05757470 0.14329413 0.26629551 1.25667997
1150 0.23873865 0.05467370 0.13794898 0.26367808 1.21948830
1200 0.22733999 0.05155544 0.13521245 0.26093159 1.19029587
1250 0.22723391 0.05035773 0.13567410 0.25780967 1.19522692
1300 0.22471400 0.04879228 0.13424184 0.25403388 1.18455110
1350 0.22496667 0.04960307 0.13231352 0.25094948 1.17493223
1400 0.22992735 0.05260576 0.13120057 0.25174003 1.16797901
1450 0.23654825 0.05544842 0.13112608 0.24881326 1.16670569
1500 0.23693049 0.05626758 0.13089910 0.24321744 1.16336682
1550 0.22615074 0.05180700 0.13296250 0.24743092 1.17444964
1600 0.22071140 0.04900774 0.13138272 0.24452076 1.16078805
1650 0.21520273 0.04709055 0.12828724 0.23360623 1.13559543
1700 0.21206990 0.04659602 0.13124901 0.23330540 1.16291515
1750 0.21183024 0.04643066 0.12977963 0.23520356 1.15451906
1800 0.20993420 0.04494504 0.12480285 0.23613966 1.12892791
1850 0.21367585 0.04563287 0.12585163 0.23653846 1.12375097
1900 0.21762675 0.04806407 0.12633517 0.23493540 1.11255223
1950 0.22031543 0.05138719 0.12345318 0.22972306 1.09092539
2000 0.21534706 0.05027377 0.11954707 0.22647522 1.06748759
2050 0.20455506 0.04532538 0.11928134 0.22787995 1.07843456
2100 0.20276211 0.04220977 0.12307135 0.22704015 1.09131241
2150 0.20231035 0.04286857 0.12330001 0.22089631 1.07215594
2200 0.20050461 0.04438234 0.12419867 0.21831539 1.08176287
2250 0.20427129 0.04538717 0.12632251 0.22262256 1.10121940
2300 0.20470147 0.04363862 0.12583875 0.22987648 1.09408724
2350 0.20739870 0.04434550 0.12401378 0.23612049 1.09620179
2400 0.20873878 0.04647443 0.12058506 0.22730623 1.07721677
2450 0.20989404 0.04753072 0.11921487 0.22025357 1.05174975
2500 0.20900496 0.04645780 0.11970765 0.21840565 1.04429981
2550 0.19999437 0.04337486 0.11941843 0.21646413 1.03207450
2600 0.19986635 0.04238121 0.11970285 0.21868220 1.03784112
2650 0.19550976 0.04083180 0.11673412 0.21298559 1.02214348
2700 0.19014355 0.03989635 0.11618948 0.21128685 1.01993982
2750 0.19147727 0.03895710 0.11768839 0.21496740 1.03801776
2800 0.19504040 0.03895415 0.11998054 0.21615048 1.05993409
2850 0.19304549 0.03939048 0.11798505 0.21119293 1.03676930
2900 0.19139857 0.04072018 0.11514874 0.20777656 0.99663765
2950 0.19935804 0.04385354 0.11439273 0.21110639 0.99986852
3000 0.19800297 0.04368739 0.11242915 0.20824300 0.98584548
3050 0.18658660 0.04041118 0.11288622 0.20658517 0.96954847
3100 0.18230664 0.03741913 0.11385523 0.20798937 0.97377120
3150 0.18369012 0.03725931 0.11276799 0.20246300 0.98815883
3200 0.18169998 0.03809143 0.11239130 0.20212733 0.97553447
3250 0.17946037 0.03761945 0.11124981 0.20489239 0.94567393
3300 0.18052665 0.03685444 0.11225344 0.20426544 0.95547192
3350 0.18378461 0.03767737 0.11470562 0.20466912 0.97439720
3400 0.18705956 0.03936166 0.11318591 0.20303147 0.96536790
3450 0.19020456 0.04080879 0.11099812 0.19866835 0.95374309
3500 0.18900325 0.04087447 0.11017734 0.19979529 0.95038945
3550 0.18163372 0.03845175 0.11164339 0.20102507 0.95762867
3600 0.18152690 0.03667166 0.11434388 0.20060641 0.95983018
3650 0.17720350 0.03530455 0.11162730 0.19840796 0.93385647
3700 0.17215420 0.03625294 0.10850065 0.19515798 0.92406694
3750 0.17312999 0.03617753 0.10776208 0.19682749 0.92025633
3800 0.17518147 0.03527501 0.10933472 0.19916385 0.92201927
3850 0.17477614 0.03535821 0.10999218 0.19857608 0.90724038
3900 0.17495076 0.03579130 0.10727262 0.19716279 0.90019135
3950 0.17890459 0.03793877 0.10521672 0.19428879 0.88807037
4000 0.17415014 0.03692998 0.10332837 0.18799284 0.86139502
4050 0.16701314 0.03361737 0.10293675 0.19255412 0.87627495
4100 0.16910606 0.03371786 0.10492373 0.19788913 0.89016811
4150 0.16622131 0.03469964 0.10374171 0.18748330 0.86481267
4200 0.16010006 0.03186545 0.10489514 0.18561750 0.86874553
4250 0.15909014 0.03058785 0.10457077 0.18989728 0.86067202
4300 0.16270763 0.03278758 0.10466004 0.19037364 0.85250935
4350 0.16389371 0.03337564 0.10442341 0.18540806 0.85370873
4400 0.16798060 0.03510652 0.10313360 0.18597372 0.85195404
4450 0.17080275 0.03618557 0.10207513 0.18751940 0.83791256
4500 0.16583478 0.03471668 0.09859971 0.18313854 0.81047612
4550 0.16154629 0.03356187 0.09839074 0.18251530 0.82216108
4600 0.16115728 0.03249204 0.09931546 0.18349033 0.82577730
4650 0.15573959 0.03104749 0.09818747 0.17887309 0.81265052
4700 0.15077803 0.02863887 0.09966876 0.17662501 0.83689626
4750 0.15260694 0.02949572 0.09942251 0.17712946 0.83301519
4800 0.15447717 0.03122631 0.09925739 0.17907111 0.82028364
4850 0.15539567 0.03193851 0.10027531 0.17905453 0.81755881
4900 0.15640086 0.03255886 0.09890813 0.17631939 0.79696566
4950 0.15981473 0.03349384 0.09719315 0.17777914 0.79156197
5000 0.15930153 0.03301174 0.09461550 0.17794445 0.78640758
5050 0.15119867 0.03045233 0.09371583 0.17460433 0.78162794
5100 0.14922709 0.02902117 0.09533189 0.17701951 0.78448067
5150 0.14936238 0.02903216 0.09541993 0.17528195 0.77972331
5200 0.14185880 0.02713604 0.09416407 0.16776669 0.76636700
5250 0.14012929 0.02721525 0.09217345 0.16773870 0.75754621
5300 0.14315376 0.02803972 0.09266940 0.17064655 0.76954531
5350 0.14681634 0.02893630 0.09421376 0.17181033 0.77440812
5400 0.14552972 0.02908743 0.09276429 0.16971351 0.75093312
5450 0.14581542 0.02958562 0.08985246 0.16605630 0.73536360
5500 0.14606227 0.02926766 0.08858451 0.16537194 0.73453398
5550 0.13975766 0.02735768 0.08797963 0.16283809 0.72418687
5600 0.13741054 0.02611964 0.08813004 0.15885218 0.71678284
5650 0.13750005 0.02618573 0.08890081 0.15920824 0.72164527
5700 0.13510945 0.02564023 0.09012511 0.16071191 0.73377460
5750 0.13300534 0.02520547 0.08773294 0.15902343 0.71451343
5800 0.13352588 0.02567807 0.08553181 0.15899599 0.69696785
5850 0.13503244 0.02651483 0.08651341 0.15879573 0.69382583
5900 0.13629259 0.02714039 0.08596709 0.15656017 0.69219096
5950 0.13977413 0.02782987 0.08519224 0.15316600 0.70133915
6000 0.13554793 0.02637967 0.08260051 0.14872157 0.68030833
6050 0.12840939 0.02504256 0.08166836 0.15027867 0.66893405
6100 0.13066144 0.02521517 0.08390303 0.15502237 0.68650723
6150 0.12927202 0.02347479 0.08404566 0.15243591 0.68723966
6200 0.12528790 0.02183578 0.08439772 0.15076768 0.68444180
6250 0.12366913 0.02204817 0.08246220 0.14894776 0.67439227
6300 0.12238700 0.02300587 0.08084624 0.14508417 0.66064665
6350 0.12305185 0.02411065 0.08103846 0.14522608 0.64604517
6400 0.12677803 0.02515492 0.07971427 0.14658143 0.64801048
6450 0.12905871 0.02461237 0.07818997 0.14610139 0.65113543
6500 0.12633227 0.02362042 0.07808122 0.14248793 0.63538779
6550 0.11956038 0.02201830 0.07890244 0.13983923 0.62942835
6600 0.11799755 0.02082670 0.07758896 0.14133331 0.63761933
6650 0.11657481 0.02126959 0.07512474 0.13910714 0.62851416
6700 0.11531200 0.02123469 0.07656916 0.13783842 0.63323174
6750 0.11629214 0.02123059 0.07812131 0.13792911 0.63646971
6800 0.11551871 0.02107502 0.07716668 0.13417970 0.62753983
6850 0.11470160 0.02057154 0.07669486 0.13450240 0.62129859
6900 0.11917285 0.02216189 0.07723257 0.13610168 0.62426532
6950 0.12101817 0.02309965 0.07632685 0.13447039 0.61035235
7000 0.11649962 0.02177103 0.07375045 0.13299491 0.58910522
7050 0.11298815 0.02050914 0.07362443 0.13288692 0.59464075
7100 0.11145806 0.01942635 0.07378597 0.13236765 0.59979709
7150 0.11035694 0.01933279 0.07171592 0.12962518 0.58616974
7200 0.10745842 0.01907924 0.07192806 0.12991004 0.58568534
7250 0.10550134 0.01846612 0.07215193 0.12851687 0.58730941
7300 0.10738654 0.01900062 0.07220703 0.12892346 0.58741189
7350 0.10814444 0.01921430 0.07255485 0.12862658 0.58537646
7400 0.11064232 0.02006086 0.07153695 0.12617445 0.58452026
7450 0.11173238 0.02131501 0.06962053 0.12338285 0.56718105
7500 0.10954630 0.02011591 0.06845889 0.12138120 0.55797256
7550 0.10595058 0.01900455 0.06856072 0.12089156 0.56276422
7600 0.10325479 0.01810212 0.06817824 0.12176689 0.55765497
7650 0.10105093 0.01798988 0.06700842 0.12242686 0.54733458
7700 0.09781988 0.01685484 0.06770932 0.12103844 0.54826037
7750 0.09779414 0.01617572 0.06816212 0.12003351 0.55282089
7800 0.10021792 0.01722512 0.06833383 0.12025084 0.55618663
7850 0.10196157 0.01817486 0.06846122 0.12067419 0.55090429
7900 0.10319830 0.01893205 0.06669992 0.11884818 0.54383503
7950 0.10350560 0.01848331 0.06563039 0.11798882 0.53812088
8000 0.10181177 0.01786582 0.06470844 0.11693537 0.52160305
8050 0.09835159 0.01666756 0.06535979 0.11753235 0.52411304
8100 0.09813719 0.01689205 0.06576221 0.11656085 0.53027389
8150 0.09768873 0.01752889 0.06364854 0.11402087 0.51997114
8200 0.09418891 0.01644626 0.06371730 0.11492337 0.52311094
8250 0.09289601 0.01575552 0.06472571 0.11603874 0.52668618
8300 0.09447331 0.01574418 0.06492319 0.11658286 0.52670167
8350 0.09558170 0.01685723 0.06461680 0.11443363 0.51685682
