step total noise recon gradient content
1 1.991903 1.394604 0.388175 0.990761 3.807260
51 0.871678 0.456895 0.266175 0.702912 2.565922
101 0.643977 0.290271 0.227829 0.592269 2.231481
151 0.423840 0.136198 0.186154 0.457452 1.851881
201 0.391287 0.119720 0.176689 0.407286 1.740677
251 0.364482 0.106652 0.170602 0.380871 1.684777
301 0.345049 0.096228 0.166241 0.355358 1.632026
351 0.331813 0.087336 0.162080 0.337645 1.590358
401 0.325307 0.082436 0.159080 0.335728 1.584188
451 0.310361 0.075065 0.157476 0.333264 1.567139
501 0.290618 0.066954 0.156024 0.323769 1.540913
551 0.284217 0.064222 0.153096 0.303096 1.513231
601 0.276715 0.061793 0.148169 0.296883 1.468037
651 0.269389 0.059678 0.144065 0.291420 1.432145
701 0.266334 0.057138 0.142597 0.285477 1.423692
751 0.261298 0.054167 0.140539 0.281993 1.393241
801 0.252534 0.051841 0.136780 0.272753 1.364762
851 0.239949 0.047046 0.138953 0.266658 1.385733
901 0.231733 0.044834 0.134748 0.255540 1.347520
951 0.229831 0.045000 0.126165 0.244203 1.288271
1001 0.230890 0.045822 0.126199 0.239063 1.282947
1051 0.226352 0.043286 0.124037 0.241226 1.265258
1101 0.224818 0.042185 0.124652 0.239924 1.276563
1151 0.227665 0.045217 0.126347 0.238526 1.269466
1201 0.227882 0.045156 0.124463 0.242177 1.251331
1251 0.228330 0.043791 0.123465 0.242297 1.251273
1301 0.223348 0.041696 0.122484 0.238004 1.249408
1351 0.210515 0.037763 0.119539 0.231996 1.246114
1401 0.204121 0.036891 0.116072 0.222559 1.210895
1451 0.203846 0.038586 0.111939 0.211888 1.156890
1501 0.203026 0.038305 0.109953 0.213309 1.133733
1551 0.199168 0.034451 0.109408 0.215914 1.142357
1601 0.192717 0.031905 0.106854 0.210957 1.126897
1651 0.191775 0.033483 0.105488 0.208036 1.102763
1701 0.190732 0.033606 0.104927 0.204683 1.091337
1751 0.188864 0.031244 0.105641 0.202453 1.083755
1801 0.186969 0.030468 0.107221 0.203389 1.085380
1851 0.178184 0.028455 0.107453 0.204511 1.087091
1901 0.170849 0.027224 0.100302 0.194537 1.049504
1951 0.166023 0.027181 0.093676 0.182673 0.982118
2001 0.164589 0.026263 0.094136 0.179975 0.964077
2051 0.162300 0.023832 0.092680 0.177353 0.962514
2101 0.158573 0.022158 0.092116 0.176049 0.955757
2151 0.161736 0.023852 0.093931 0.178727 0.965296
2201 0.166476 0.025172 0.097275 0.182552 0.979319
2251 0.164787 0.024856 0.096327 0.177991 0.964781
2301 0.157566 0.023127 0.091819 0.174435 0.937061
2351 0.151252 0.020330 0.093610 0.175213 0.953348
2401 0.146946 0.018668 0.091044 0.170519 0.930328
2451 0.142752 0.018889 0.085150 0.160261 0.879004
2501 0.141026 0.019341 0.083324 0.154155 0.864285
2551 0.140439 0.017818 0.082553 0.152897 0.868448
2601 0.142181 0.017613 0.087207 0.155296 0.890951
2651 0.141981 0.019038 0.086769 0.154318 0.878231
2701 0.139394 0.018050 0.084361 0.148873 0.860713
2751 0.141871 0.017457 0.085177 0.152612 0.870700
2801 0.144849 0.018547 0.087665 0.161806 0.884382
2851 0.139033 0.017370 0.090429 0.162012 0.888604
2901 0.127802 0.014619 0.083858 0.147274 0.844208
2951 0.123922 0.013818 0.077811 0.135073 0.798101
3001 0.127739 0.014521 0.079120 0.139754 0.808151
3051 0.128656 0.014435 0.078952 0.139631 0.822334
3101 0.124224 0.013430 0.076683 0.130530 0.807440
3151 0.122437 0.013138 0.076478 0.126914 0.796494
3201 0.125518 0.013572 0.078445 0.133671 0.804132
3251 0.126204 0.013002 0.077969 0.136691 0.807657
3301 0.121959 0.011980 0.074494 0.133054 0.794135
3351 0.117678 0.011629 0.075866 0.129950 0.797379
3401 0.115712 0.011381 0.075692 0.124129 0.787247
3451 0.115137 0.011374 0.070831 0.121435 0.755305
3501 0.117279 0.011905 0.072098 0.123680 0.762881
3551 0.117735 0.011642 0.074091 0.122938 0.770499
3601 0.113627 0.010486 0.071607 0.121761 0.748071
3651 0.116047 0.010929 0.072160 0.129377 0.763516
3701 0.119336 0.011475 0.073595 0.131479 0.780706
3751 0.118087 0.011139 0.072600 0.125541 0.768215
3801 0.115952 0.010811 0.073119 0.121698 0.763978
3851 0.113312 0.010216 0.075628 0.126170 0.779764
3901 0.110129 0.009642 0.071806 0.123797 0.758958
3951 0.106730 0.009318 0.067107 0.113603 0.719446
4001 0.111048 0.010004 0.069825 0.116545 0.743892
4051 0.113926 0.010180 0.072229 0.119878 0.753299
4101 0.108205 0.009056 0.070234 0.115874 0.720321
4151 0.107133 0.009611 0.067339 0.111593 0.711972
4201 0.110618 0.010027 0.068616 0.113565 0.728813
