step Ashen BareBones Cartoon Chibli
1 1.80367073 1.69209471 1.81484678 1.99190319
50 0.60507302 0.33019955 0.49558558 0.37871839
100 0.43299443 0.33187121 0.50066540 0.46165377
150 0.30968167 0.20051001 0.39587818 0.42878715
200 0.36447965 0.18938774 0.36640291 0.30671079
250 0.27899648 0.19479261 0.38282008 0.26730480
300 0.31214007 0.14704346 0.29596065 0.37521937
350 0.32506064 0.19537156 0.32788254 0.24080664
400 0.26416327 0.17505865 0.29833012 0.34067583
450 0.29080913 0.16148907 0.33188840 0.25474398
500 0.27631976 0.15515797 0.24565206 0.34799606
550 0.20232915 0.15273406 0.26413768 0.14634088
600 0.28721126 0.16755789 0.38384360 0.28293310
650 0.29380432 0.16053986 0.31954123 0.24211808
700 0.20783001 0.19670117 0.39839296 0.17931106
750 0.26023619 0.13036477 0.31800422 0.25252779
800 0.20513874 0.12594902 0.24926058 0.19379699
850 0.24812865 0.12951655 0.37811829 0.21103226
900 0.15085593 0.10370645 0.24903932 0.24464749
950 0.23136793 0.14023757 0.34758596 0.19197315
1000 0.23484842 0.12285363 0.24994333 0.19886224
1050 0.20353637 0.11846170 0.21839520 0.17272473
1100 0.23426338 0.12683163 0.35980995 0.23066118
1150 0.22487546 0.16475232 0.24466918 0.18949973
1200 0.28305688 0.14576674 0.22772753 0.14522834
1250 0.20595680 0.09788438 0.22843836 0.16474697
1300 0.15940580 0.09248741 0.21786023 0.18147968
1350 0.25261707 0.11903401 0.31352188 0.17393720
1400 0.18834081 0.08337872 0.20548951 0.18476213
1450 0.21987214 0.13036895 0.18274832 0.12187352
1500 0.24512494 0.08950126 0.24452269 0.19557928
1550 0.20416502 0.10173780 0.21384576 0.18175712
1600 0.18375652 0.11458448 0.20891007 0.15932945
1650 0.17676079 0.12787334 0.25021648 0.17889639
1700 0.22537126 0.12380053 0.30652029 0.14265754
1750 0.18608572 0.07732315 0.20331333 0.15099948
1800 0.16791623 0.08354282 0.19113085 0.13686775
1850 0.17101915 0.09809405 0.29346443 0.14483465
1900 0.19741353 0.06342609 0.21214861 0.17654199
1950 0.15833898 0.10384017 0.24877296 0.14250312
2000 0.18667919 0.08030113 0.19618860 0.16948249
2050 0.18123056 0.08971958 0.18643833 0.10786046
2100 0.20756951 0.10211389 0.22575216 0.14778913
2150 0.18423244 0.12004317 0.20173111 0.15679854
2200 0.21661391 0.11961223 0.29705044 0.11102594
2250 0.16476640 0.07338754 0.17422166 0.15405631
2300 0.16586737 0.07539510 0.17659408 0.12669450
2350 0.22092057 0.09680439 0.24095726 0.12350963
2400 0.11192872 0.06012719 0.13334418 0.15714527
2450 0.18633231 0.08805137 0.25961980 0.09589956
2500 0.18142975 0.07612866 0.23043334 0.14748790
2550 0.18426245 0.08009250 0.22660305 0.11397851
2600 0.19808350 0.09413709 0.23813022 0.11491054
2650 0.15909938 0.11595108 0.22570905 0.12876181
2700 0.16100015 0.10780749 0.25764089 0.11465627
2750 0.16567654 0.07117784 0.22144119 0.13482768
2800 0.14015331 0.07554117 0.15987511 0.09744237
2850 0.15946064 0.08980949 0.21514499 0.11481650
2900 0.13554642 0.05374409 0.15033257 0.10989686
2950 0.18794617 0.08332273 0.22450633 0.11468792
