step noise recon gradient content_structure content_contrast content_hue content_color_moment source_close_legacy_fraction
1 1.30461609 0.33789392 0.94773944 1.33202241 0.01017769 0.55382740 0.30434944 0.00000000
50 0.22495677 0.19736367 0.53583662 0.74921635 0.01732947 0.34619530 0.13663639 0.00000000
100 0.16886694 0.15828310 0.38480056 0.51770669 0.01473815 0.32323223 0.10579352 0.06250000
150 0.10496858 0.21135173 0.45390408 0.63338034 0.03041450 0.32449463 0.17385166 0.00000000
200 0.09797813 0.24724773 0.48313306 0.65875855 0.02090204 0.37916978 0.21240497 0.00000000
250 0.06871295 0.24102179 0.52048673 0.72739708 0.01886316 0.35858051 0.19002165 0.00000000
300 0.06477643 0.14732755 0.33958719 0.45033591 0.02368618 0.24897165 0.09666809 0.06250000
350 0.07911444 0.19164988 0.33651304 0.40935290 0.04956919 0.31491720 0.12329924 0.06250000
400 0.05009105 0.18535448 0.37129293 0.46321824 0.05246355 0.24961064 0.12057385 0.06250000
450 0.07845003 0.18605806 0.29008884 0.35954915 0.05958126 0.32278612 0.15080953 0.06250000
500 0.08056334 0.18242653 0.37046576 0.46595297 0.03032085 0.28137098 0.12989524 0.12500000
550 0.03828625 0.15256210 0.27922731 0.38011349 0.02852553 0.12819114 0.11596241 0.06250000
600 0.07458144 0.10317719 0.19375773 0.24228320 0.04636417 0.20858011 0.07790598 0.06250000
650 0.07802518 0.14016717 0.27996202 0.36831813 0.02516844 0.23276276 0.10488178 0.00000000
700 0.06425049 0.10984697 0.19191308 0.26221048 0.01473684 0.13246795 0.08883773 0.06250000
750 0.07126950 0.19225594 0.35252135 0.45463159 0.02855527 0.20495728 0.15313006 0.12500000
800 0.04483452 0.19379162 0.31153367 0.44312634 0.08741344 0.26957502 0.17499524 0.00000000
850 0.08423219 0.13910653 0.22214369 0.31643240 0.01630688 0.18894039 0.11482661 0.06250000
900 0.03823107 0.14868632 0.21931248 0.29723436 0.04266421 0.14983507 0.11945035 0.25000000
950 0.05475475 0.09923143 0.20185242 0.26057647 0.03295551 0.13552451 0.05885299 0.06250000
